Genome	DE96NGSUKBD140734Dm	DE91NGSUKBD140727Sc	DE90NGSUKBD140745Dm	DE86NGSUKBD140720Sc	DE85NGSUKBD140738Dm	DE80NGSUKBD140731Sc	DE75NGSUKBD140724Sc	DE74NGSUKBD140742Dm	DE69NGSUKBD140735Dm	DE64NGSUKBD140728Sc	DE63NGSUKBD140746Dm	DE59NGSUKBD140721Sc	DE58NGSUKBD140739Dm	DE53NGSUKBD140732Sc	DE48NGSUKBD140725Sc	DE47NGSUKBD140743Dm	DE42NGSUKBD140736Dm	DE37NGSUKBD140729Sc	DE32NGSUKBD140722Sc	DE31NGSUKBD140740Dm	DE26NGSUKBD140733Dm	DE21NGSUKBD140726Sc	DE20NGSUKBD140744Dm	DE16NGSUKBD140719Sc	DE15NGSUKBD140737Dm	DE10NGSUKBD140730Sc	DE05NGSUKBD140723Sc	DE04NGSUKBD140741Dm
3_binette_bin44	0	0	0.021469092	0	0.05699733	0	0	0.039452426	0	0	0.033211015	0	0.05015116	0	0	0.038661055	0	0	0	0.039788622	0	0	0.038933042	0	0.057609793	0	0	0.024116471
3_binette_bin45	0	0	0.01778039	0	0.03990059	0	0	0.03448401	0	0	0.028268646	0	0.03652262	0	0	0.033642005	0	0	0	0.03266265	0	0	0.03139648	0	0.041431468	0	0	0.013890597
3_binette_bin46	0	0	0.016076975	0	0.037555065	0	0	0.032532755	0	0	0.026325304	0	0.033676207	0	0	0.031101165	0	0	0	0.030359374	0	0	0.02930178	0	0.03836514	0	0	0.012053204
3_binette_bin47	0	0	0.43158183	0.08663318	1.223797	0	0	0.82512057	0	0	0.7083534	0	1.1800289	0	0	0.80272627	0	0	0	0.77195346	0	0	0.82108355	0	1.1804752	0	0	0.6162813
3_binette_bin48	0	0	0.018612687	0	0.046554428	0	0	0.040260285	0	0	0.028413564	0	0.040765334	0	0	0.035743874	0	0	0	0.036370635	0	0	0.03322069	0	0.04803031	0	0	0.0180019
3_binette_bin49	0.5231873	0.09315277	0.048622116	0.07639215	0.038559314	0.091307014	0.08902902	0.021715363	0.44621995	0.0784174	0.028604036	0.07844792	0.07512394	0.08701779	0.105262205	0.023538025	0.44966158	0.10604915	0.090335034	0.019392427	0.54913086	0.1033167	0.025227776	0.0863418	0.044001132	0.10724846	0.077381365	0.017763961
3_binette_bin5	0	0	0.017503664	0	0.039662134	0	0	0.03575873	0	0	0.02753818	0	0.03621717	0	0	0.033111103	0	0	0	0.032759354	0	0	0.031027801	0	0.041110087	0	0	0.013497777
3_binette_bin50	1.8013061	0.07039641	0.07232309	0.062040757	0.21372011	0.072650544	0.06667624	0.08618307	1.5396595	0.055741254	0.068945326	0.055038027	0.27761963	0.064891905	0.07215597	0.0803076	1.4713953	0.08214993	0.062236987	0.070567474	1.9885437	0.08118121	0.065432616	0.06328879	0.24633664	0.11398831	0.054277293	0.039356843
3_binette_bin51	0	0	0.018429076	0	0.04215864	0	0	0.037234243	0	0	0.029213145	0	0.038110252	0	0	0.0361935	0	0	0	0.034295905	0	0	0.032882467	0	0.042887557	0	0	0.014420512
3_binette_bin52	0	0	0.018782426	0	0.04852311	0	0	0.034076247	0	0	0.029128853	0	0.043438792	0	0	0.034750726	0	0	0	0.0338159	0	0	0.032581106	0	0.04930093	0	0	0.020658555
3_binette_bin53	0	0	0.015620197	0	0.045817394	0	0	0.02807837	0	0	0.024000444	0	0.04011083	0	0	0.028168984	0	0	0	0.02897661	0	0	0.028693242	0	0.046294138	0	0	0.021271845
3_binette_bin54	0.48790023	0.10457049	0.054985054	0.08570168	0.03548866	0.1042854	0.10142073	0.024056138	0.39296016	0.08519988	0.032053236	0.08845053	0.06231781	0.096465185	0.12195986	0.027277503	0.37675175	0.12150699	0.10224237	0.021948058	0.48315805	0.118412524	0.027929178	0.099591084	0.03717386	0.12244607	0.08917988	0.01907703
3_binette_bin55	0	0	0.01908202	0	0.048801787	0	0	0.039993934	0	0	0.03047697	0	0.043320566	0	0	0.03534536	0	0	0	0.03615625	0	0	0.034999575	0	0.049934603	0	0	0.020248912
