,bin,ass2ref,taxid,species,genus,family,order,class,phylum,superkingdom,organism_name
114,2_binette_bin22.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
115,3_binette_bin39.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
116,3_binette_bin138.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
117,2_binette_bin68.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
118,3_binette_bin93.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
119,3_binette_bin37.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
120,4_binette_bin9.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
121,3_binette_bin8.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
122,8_binette_bin61.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
123,2_binette_bin20.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
124,3_binette_bin227.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
125,4_binette_bin25.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
126,3_binette_bin189.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
127,8_binette_bin10.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
128,4_binette_bin82.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
129,3_binette_bin157.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
130,3_binette_bin124.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
131,3_binette_bin99.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
132,3_binette_bin95.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
133,4_binette_bin13.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
134,3_binette_bin164.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
135,2_binette_bin42.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
136,3_binette_bin146.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
137,2_binette_bin100.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
138,8_binette_bin31.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
139,7_binette_bin25.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
140,7_binette_bin12.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
141,3_binette_bin73.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
142,2_binette_bin216.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
143,3_binette_bin217.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
144,2_binette_bin187.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
145,2_binette_bin53.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
146,1_binette_bin23.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
147,8_binette_bin77.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
148,3_binette_bin192.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
149,2_binette_bin92.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
150,4_binette_bin19.fasta.fasta,0.012738853503184714,3434798,164759,238749,80864,80840,28216,1224,2,Diaphorobacter nitroreducens
151,2_binette_bin201.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
152,2_binette_bin97.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
153,3_binette_bin141.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
154,3_binette_bin13.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
155,4_binette_bin108.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
156,3_binette_bin202.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
157,8_binette_bin73.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
158,3_binette_bin28.fasta.fasta,0.0,0,0,0,0,0,0,0,0,-
