Genome	SRR24759596	SRR24759597	SRR24759598	SRR24759599	SRR24759600	SRR24759601	SRR24759602	SRR24759603	SRR24759604	SRR24759605	SRR24759606	SRR24759607	SRR24759608	SRR24759609	SRR24759610	SRR24759611	SRR24759612	SRR24759613	SRR24759614	SRR24759615	SRR24759616
SRR24759599_binette_bin39	0.005360874	0.0065402975	0.0188167	0.04339949	0.01641094	0.0224095	0.019834202	0.03767618	0.017423274	0.009376454	0.0071715955	0.023280293	0.008633681	0.0050611175	0.0075986227	0.011199478	0.010726073	0.012675969	0.010980577	0.011211756	0.011996181
SRR24759599_binette_bin40	0.60345316	0.45064566	0.46609387	0.857946	0.35397235	0.720201	0.44139808	0.52017593	0.5596778	0.5791612	0.5408009	0.48056272	0.50861704	0.70121014	0.8372573	0.42975235	0.5499933	0.5890732	0.5311183	0.66212445	0.60004556
SRR24759599_binette_bin41	0.6802916	0.4865719	0.43651986	0.82573277	0.45272332	0.62140393	0.5200638	0.60336393	0.6314409	0.6118629	0.617766	0.61342996	0.51278305	0.70180845	0.7477846	0.50047857	0.62351257	0.65099484	0.54558593	0.63221496	0.6410736
SRR24759599_binette_bin43	0.14374948	0.112306215	0.09375661	0.1990449	0.12491706	0.119084425	0.14469711	0.14983244	0.18237574	0.15369898	0.1615824	0.1449567	0.13398024	0.13721657	0.11981854	0.19456217	0.1325193	0.14486663	0.22192726	0.13333292	0.16600333
SRR24759599_binette_bin44	0.009271318	0.022248583	0.029065799	0.09244126	0.021246428	0.008592503	0.02106173	0.0136082005	0.019905115	0.0090453755	0.013960285	0.018883776	0.014751269	0.012382874	0.010577778	0.018154597	0.014155018	0.014066581	0.01653808	0.01457732	0.01957445
SRR24759599_binette_bin45	0.048670653	0.06026959	0.18414591	0.20220545	0.08408739	0.056309618	0.062090196	0.14895453	0.04413517	0.04586681	0.053746816	0.04708556	0.14391911	0.024947481	0.063916236	0.20134015	0.039321873	0.022229852	0.056893937	0.05631971	0.04814107
SRR24759599_binette_bin46	0.026805738	0.0568526	0.16696283	0.15632379	0.07161942	0.042421635	0.052154973	0.09396432	0.043891616	0.034087084	0.04021682	0.044986125	0.09621073	0.019931098	0.049150497	0.11769491	0.0311746	0.026414987	0.042605497	0.04660966	0.041114256
SRR24759599_binette_bin47	0.009328191	0.015832389	0.024174089	0.039172903	0.018005319	0.01167465	0.017139886	0.018264363	0.013984874	0.008383491	0.009980812	0.016295748	0.013866991	0.0086482335	0.008714268	0.013509976	0.012179248	0.010182252	0.0120908115	0.01280018	0.015724124
SRR24759599_binette_bin48	0.0046327324	0.016582359	0.025268456	0.042336546	0.01403323	0.012045694	0.0120676635	0.02979871	0.008098398	0.009543886	0.0066641434	0.020439383	0.013762299	0.004813871	0.008822671	0.014653201	0.008984569	0.00690968	0.011222665	0.007654352	0.0072952593
SRR24759599_binette_bin49	0.021294888	0.03483974	0.021450317	0.08710288	0.035051107	0.023691284	0.024834685	0.02091618	0.007517716	0.02278674	0.023443552	0.02433957	0.022470022	0.021952787	0.02707744	0.036099326	0.033573877	0.027713113	0.035271093	0.0092065735	0.014667844
