contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERR9966617_bin_59.fasta	M00855	33.33	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00688	K01196,K15779
ERR9966617_bin_59.fasta	M00968	33.33	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01601	K00757,K18237,K21056
ERR9966617_bin_59.fasta	M00039	30.0	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K00083,K01904,K13065	K00487,K00588,K09753,K09754,K09755,K10775,K13066
ERR9966617_bin_59.fasta	M00129	28.57	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00699,K00963	K00002,K00012,K00103,K01053,K01195
ERR9966617_bin_59.fasta	M00145	27.27	NAD(P)H	Pathway modules; Energy metabolism; ATP synthesis	K05573,K05581,K05582	K05572,K05574,K05575,K05576,K05577,K05578,K05579,K05580
ERR9966617_bin_59.fasta	M00007	25.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00616	K00615,K01783,K01807
ERR9966617_bin_59.fasta	M00050	25.0	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00088	K00940,K00942,K01951
ERR9966617_bin_59.fasta	M00109	25.0	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00497,K00513,K15680
ERR9966617_bin_59.fasta	M00130	25.0	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00888	K00889,K00911,K01116
ERR9966617_bin_59.fasta	M00151	25.0	Cytochrome bc1 complex respiratory unit	Pathway modules; Energy metabolism; ATP synthesis	K00412	K00411,K00413
ERR9966617_bin_59.fasta	M00415	25.0	Fatty acid elongation in endoplasmic reticulum	Pathway modules; Lipid metabolism; Fatty acid metabolism	K15397	K10251,K10258,K10703
ERR9966617_bin_59.fasta	M00976	25.0	C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone	Pathway modules; Lipid metabolism; Sterol biosynthesis	K00512	K00070,K04119,K12343
ERR9966617_bin_59.fasta	M00926	22.22	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00231,K02492	K00435,K01599,K01698,K01719,K01749,K01772,K01845
ERR9966617_bin_59.fasta	M00115	20.0	NAD biosynthesis, aspartate => quinolinate => NAD	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03517	K00278,K00767,K00969,K01916
ERR9966617_bin_59.fasta	M00121	20.0	Heme biosynthesis, plants and bacteria, glutamate => heme	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00231,K02492	K00228,K01599,K01698,K01719,K01749,K01772,K01845,K01885
ERR9966617_bin_59.fasta	M00137	20.0	Flavanone biosynthesis, phenylalanine => naringenin	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	K01904	K00487,K00660,K01859,K10775
ERR9966617_bin_59.fasta	M00143	20.0	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	Pathway modules; Energy metabolism; ATP synthesis	K03935,K03936	K03934,K03937,K03938,K03939,K03940,K03941,K03942,K03943
