Sample	Tool	accuracy_bp	accuracy_seq	adjusted_rand_index_bp	adjusted_rand_index_seq	binning type	f1_score_bp	f1_score_bp_cami1	f1_score_per_bp	f1_score_per_seq	f1_score_seq	f1_score_seq_cami1	misclassification_bp	misclassification_seq	percentage_of_assigned_bps	percentage_of_assigned_seqs	precision_avg_bp	precision_avg_bp_sem	precision_avg_bp_var	precision_avg_seq	precision_avg_seq_sem	precision_weighted_bp	precision_weighted_seq	rand_index_bp	rand_index_seq	rank	recall_avg_bp	recall_avg_bp_cami1	recall_avg_bp_sem	recall_avg_bp_sem_cami1	recall_avg_bp_var	recall_avg_bp_var_cami1	recall_avg_seq	recall_avg_seq_cami1	recall_avg_seq_sem	recall_avg_seq_sem_cami1	recall_weighted_bp	recall_weighted_seq
sample_3	COMEBin	0.29658720633366004	0.03811284126583729	0.8520397450382117	0.7389907629656257	genome	0.34869159515327336	0.2107362076934428	0.44625235281480524	0.07911609569229436	0.2919759372295946	0.1607125438051957	0.13750415805437244	0.24901080336104564	0.343870882513028	0.05075018580348557	0.7433109272893466	0.018124349643824488	0.08113753635286541	0.6991569942292819	0.01967166284345518	0.8624958419456276	0.7509891966389544	0.997783377416481	0.9963313541778955	NA	0.22776991013689463	0.12277160287558381	0.013105154803416846	0.009488143358238124	0.13602210527784353	0.07643110986412002	0.18451595191357328	0.09079118285390621	0.012045889790424154	0.007981737471366213	0.3009923832069976	0.04175761297912368
sample_4	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
sample_4	MetaBat2	0.216993097923233	0.01265299854566696	0.4308451480123388	0.17547087328844407	genome	0.24294463426772156	0.16998045221017533	0.4181074385705591	0.0447515234752622	0.18763189777461362	0.13850292027170777	0.32836889336296715	0.5200118791976973	0.3230837520461985	0.026361066029128816	0.8627921601474763	0.02793638236211653	0.05853310946117818	0.8143033047847527	0.0325658164894102	0.6716311066370328	0.47998812080230274	0.9730375719110305	0.9045066954813235	NA	0.14137671328476514	0.09427708721618419	0.012584165817174621	0.011282715971674857	0.09200787423151896	0.07447031262302983	0.1060318916010587	0.07568828029191663	0.01078713754010754	0.009593386751775783	0.3035318730861169	0.023469863991255936
sample_4	CONCOCT	0.2414759454076846	0.024975986944124104	0.42975773703787656	0.1496029080880949	genome	0.4532446089465856	0.2263786043203345	0.4433561039698286	0.08474866580106516	0.38003300045463245	0.18830021449060516	0.4242581806834337	0.6256318601964183	0.41941706734857015	0.06671504406659219	0.7036668639793597	0.02214785134460427	0.0990865184749032	0.6494034805761564	0.02437978712434079	0.5757418193165663	0.37436813980358175	0.982097984415992	0.9500556997065367	NA	0.3342803164165832	0.1348866856882287	0.016635493220716235	0.012413901709762178	0.16078572775866412	0.09785664684386905	0.2686131342268692	0.11011442753592442	0.01581032495164034	0.010976434851642364	0.360469883473833	0.04778281959947126
sample_4	SemiBin2	0.2537780968971446	0.010451325008807296	0.911900765021092	0.8112179330584621	genome	0.20231150714833526	0.19395771205169104	0.404295345053495	0.02135558643796258	0.15887457060053328	0.1545280465056594	0.07191085303878963	0.14007531463680511	0.27344150907062736	0.012153767866767437	0.867575499743131	0.02197277649028006	0.05069430520263943	0.8394296737513386	0.02354954576625853	0.9280891469612104	0.8599246853631949	0.9975047437620382	0.9930804840708485	NA	0.11450677503767503	0.10918355298729782	0.012115913236207454	0.01177722450669201	0.08528810041098538	0.08238959214612998	0.08774037147819118	0.08509661093938994	0.010270617572470263	0.009982292249853818	0.2584382730049962	0.01081204777920635
sample_4	DAS Tool	0.23306782029492543	0.010373037930089639	0.9372058088751227	0.9163612401139095	genome	0.21327982241448717	0.18476081974500866	0.3834847483179041	0.021602861272013683	0.18339464896750102	0.15660049470127815	0.048049475991140955	0.08231220031965902	0.2448318630189193	0.011303449750234108	0.9643795984997772	0.010473409601071659	0.007130000063668301	0.8243751410611861	0.03608056980407153	0.951950524008859	0.917687799680341	0.9978445559101625	0.9934882820783871	NA	0.11989809528193049	0.10216727692412003	0.012924311590565335	0.012126425797011727	0.09704897928230247	0.08543616771666072	0.10317358202455673	0.08651782548770726	0.011535948327220246	0.010595900423842232	0.2401043103673054	0.010930080605580664
sample_4	MaxBin2	0.11943466227437499	0.00978468042311155	0.35407084447274084	0.21739477910741187	genome	0.2632696639732832	0.09751727961257436	0.2253144872554213	0.03778610685187353	0.18582416206543614	0.07600731927325642	0.5518043742677083	0.7755863097704483	0.26647886640846785	0.04360108517935268	0.4415190794992095	0.027161331111346887	0.06787188751210026	0.22786654002023213	0.02331194025097982	0.44819562573229166	0.22441369022955168	0.9821863973116661	0.9770392377986539	NA	0.18755161101378012	0.05481170604080412	0.012810322649379044	0.007436857955883008	0.09534463686747359	0.03362656860363608	0.15687925089576837	0.04561061336480629	0.012316497032546683	0.006640709318527577	0.15048199101484447	0.02062984965869845
sample_4	Binette	0.2660023021535689	0.019700642255149635	0.9704334981686161	0.8791946920989878	genome	0.23562305958130494	0.20754979317766928	0.42514812454349044	0.04264995757439062	0.191688022027788	0.16713302311051814	0.04121494037174467	0.12799872054590045	0.27743684518478473	0.02259244650132034	0.9349318626596096	0.01610323020843884	0.022041691967408055	0.8867653063557377	0.023280373310921268	0.9587850596282553	0.8720012794540996	0.9992018113915123	0.9946319101815151	NA	0.1347974693069069	0.11673181038687926	0.012930135260211483	0.012331039726107258	0.09713645914931865	0.08834368816229136	0.10745840868068224	0.09226094921966066	0.011147559515333246	0.01037497301657707	0.2731303018752777	0.0218595590028635
sample_4	COMEBin	0.3209712065478986	0.03594882433885056	0.8123182162906764	0.6896203200346643	genome	0.36865752164717164	0.2276694245213936	0.457808830798497	0.07333362892375486	0.31736730369808247	0.18088225605674316	0.14029529589789147	0.2883879504571626	0.3733505295671574	0.05051744747990883	0.7291914303181896	0.019338635953395543	0.08452012196157956	0.6902318270993251	0.020687896164606326	0.8597047041021085	0.7116120495428374	0.9966901941828649	0.9945103742252105	NA	0.24668776240149665	0.1348929721857391	0.01582934054348354	0.01132488308330943	0.1455800208061532	0.08323618197605762	0.2060556541182453	0.10407854796788396	0.014924653847250497	0.009893042067417491	0.3119691069151928	0.038658761679077176
sample_5	Gold standard	1.0	1.0	1.0	1.0	genome	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
