Genome	SRR22878281	SRR22878282	SRR22878283
SRR22878282_binette_bin186	0.007881294	0.06197234	0.008979485
SRR22878282_binette_bin187	0.024591729	0.07387279	0.032543328
SRR22878282_binette_bin188	0.0034825683	0.052224945	0.037833605
SRR22878282_binette_bin19	0.13066712	0.2718611	0.02160371
SRR22878282_binette_bin194	0.031249508	0.106506534	0.03289505
SRR22878282_binette_bin195	0.08066351	0.1131611	0.17891242
SRR22878282_binette_bin2	0	1.2572447	0.0071373414
SRR22878282_binette_bin20	0.0044407817	0.08472083	0.064736865
SRR22878282_binette_bin21	0.00364382	0.10331109	0.4233408
SRR22878282_binette_bin24	0.0049753375	0.2885253	0.0063315206
SRR22878282_binette_bin25	0	0.15785167	0
SRR22878282_binette_bin26	0.005720506	0.26386833	0.003142882
SRR22878282_binette_bin27	0.05156914	0.13728388	0.114236556
SRR22878282_binette_bin28	0	0.14627598	0
SRR22878282_binette_bin29	0.007026482	0.08967687	0.017649008
SRR22878282_binette_bin3	0.0056699314	0.17089738	0.0031946911
SRR22878282_binette_bin31	0.12569961	0.52972347	0.007508051
SRR22878282_binette_bin33	0.017007783	0.06949106	0.010829023
SRR22878282_binette_bin34	0.009632462	0.09302014	0.028756374
SRR22878282_binette_bin35	0.0053809676	0.23157775	0
SRR22878282_binette_bin37	0.003399304	0.090272546	0.013356117
SRR22878282_binette_bin38	0.002128157	0.06992422	0.018385867
SRR22878282_binette_bin39	0.003534134	0.06969386	0.006212101
SRR22878282_binette_bin4	0.039769873	0.1426906	0.016095001
SRR22878282_binette_bin40	0	0.081245124	0.0070572635
SRR22878282_binette_bin41	0.019069765	0.07969956	0.008558848
SRR22878282_binette_bin42	0.0069931867	0.059164207	0.047452293
SRR22878282_binette_bin43	0.008789303	0.058306985	0.019151337
SRR22878282_binette_bin44	0	0.1040369	0.054274775
SRR22878282_binette_bin45	0.07907131	0.3936377	0.0075584794
SRR22878282_binette_bin47	0.00149303	0.066577956	0.025531355
SRR22878282_binette_bin48	0.003136901	0.057786625	0.118596226
SRR22878282_binette_bin5	0.0015879421	0.11379738	0.020709712
SRR22878282_binette_bin50	0.00766537	0.059736837	0.0028863985
SRR22878282_binette_bin51	0	0.52540445	0.007909053
SRR22878282_binette_bin52	0.0021411155	0.051341753	0.013458914
SRR22878282_binette_bin53	0.001470649	0.07065916	0.007150277
SRR22878282_binette_bin54	0.0152572505	0.05064627	0.011655637
SRR22878282_binette_bin55	0.008404045	0.061253533	0.016615126
SRR22878282_binette_bin56	0.0045050867	0.06555842	0.033134636
SRR22878282_binette_bin57	0	0.06909878	0.025269255
SRR22878282_binette_bin58	0	0.12017001	0
SRR22878282_binette_bin6	5.9460177	0.43046847	0.07492771
SRR22878282_binette_bin60	0.0026811343	0.054627586	0.0077794055
SRR22878282_binette_bin61	0	0.056289595	0
SRR22878282_binette_bin63	0.012020552	0.060876805	0.007724941
SRR22878282_binette_bin64	0	0.07607958	0
SRR22878282_binette_bin65	0.0070728576	0.058132987	0.048184108
SRR22878282_binette_bin67	0	0.13063142	0
SRR22878282_binette_bin68	0.020849893	0.06464349	0.0039608567
SRR22878282_binette_bin69	0	0.13304162	0.0057645487
SRR22878282_binette_bin7	0	0.18647955	0
SRR22878282_binette_bin71	0.003454604	0.043626007	0.048244424
SRR22878282_binette_bin72	0.03469986	0.08259286	0.0055661467
SRR22878282_binette_bin73	0	0.04372209	0
SRR22878282_binette_bin74	0.05021918	0.17895032	0.0033496516
SRR22878282_binette_bin75	0.0068186903	0.058600407	0.04808036
SRR22878282_binette_bin76	0.20909576	0.30655146	0.004861126
SRR22878282_binette_bin77	0.08193737	0.081269346	0.015111991
SRR22878282_binette_bin78	0.20130537	0.48100576	0.009779419
SRR22878282_binette_bin79	0.048858117	0.0594438	0.020789096
SRR22878282_binette_bin8	0	0.09077061	0
SRR22878282_binette_bin80	0.0012996084	0.043459155	0.0062437635
SRR22878282_binette_bin81	0.021765733	0.062012427	0.0041841883
SRR22878282_binette_bin82	0	0.04311293	0.0061311736
SRR22878282_binette_bin83	0.047026627	0.14222512	0.04688942
SRR22878282_binette_bin84	0.15469845	0.16457154	0.030975647
SRR22878282_binette_bin85	0.70350295	0.22830302	0.13985191
SRR22878282_binette_bin86	0.06769436	0.26551726	0.010818438
SRR22878282_binette_bin87	0.037114337	0.13230115	0.0018245231
SRR22878282_binette_bin88	0.016502533	0.059655655	0.010492688
SRR22878282_binette_bin9	0.00077808625	0.24773087	0
SRR22878282_binette_bin90	0	0.048871364	0.0093638785
SRR22878282_binette_bin91	0.0986157	0.046098717	0.2647419
SRR22878282_binette_bin92	0	0.044390254	0.0054775216
SRR22878282_binette_bin93	0	0.053378683	0
SRR22878282_binette_bin94	0.0014040744	0.047391284	0.030035948
SRR22878282_binette_bin95	0	0.11263727	0
SRR22878282_binette_bin96	0.015883394	0.047196012	0.005261424
SRR22878282_binette_bin97	0.106436685	0.08455337	0.07174567
SRR22878282_binette_bin98	0	0.04156657	0
SRR22878282_binette_bin99	0.053601097	0.06665496	0.04250278
SRR22878283_binette_bin1	0.006074184	0.0031965752	0.16882154
SRR22878283_binette_bin10	0.0012166551	0.03595803	0.16156456
SRR22878283_binette_bin100	0	0	0.10288937
SRR22878283_binette_bin101	0	0.006282454	3.2724922
SRR22878283_binette_bin102	0	0	0.104019046
SRR22878283_binette_bin103	0.0014630851	0.0054642684	0.103138514
SRR22878283_binette_bin104	0.02278009	0.009996627	0.062026452
SRR22878283_binette_bin105	0	0	0.10293391
SRR22878283_binette_bin106	0	0	0.103812225
SRR22878283_binette_bin107	0	0.0022374012	0.10268752
SRR22878283_binette_bin108	0	0.007444754	0.05649269
SRR22878283_binette_bin109	0	0.028361049	0.16665469
SRR22878283_binette_bin11	0	0	0.16819522
SRR22878283_binette_bin110	0.0009492224	0	0.06070742
SRR22878283_binette_bin111	0.0041923067	0.010069342	0.10670524
SRR22878283_binette_bin112	0.045466077	0.009474351	0.061889965
SRR22878283_binette_bin113	0	0.002568564	0.05101189
SRR22878283_binette_bin114	0.0051233936	0.02546459	0.2823817
SRR22878283_binette_bin115	0.015117302	0.0067028794	0.04872013
SRR22878283_binette_bin116	0	0.00861858	0.07846408
SRR22878283_binette_bin117	0.0028293084	0.017622061	0.06909825
SRR22878283_binette_bin118	0	0.010027464	0.08451066
SRR22878283_binette_bin119	0.11723204	0.06745383	0.19571103
SRR22878283_binette_bin12	0.015605234	0.028552722	0.16987313
SRR22878283_binette_bin120	0	0	0.09966693
SRR22878283_binette_bin121	0.0424033	0.021190444	0.23541461
SRR22878283_binette_bin122	0.0016272512	0	0.084626935
SRR22878283_binette_bin123	0	0	0.10024967
SRR22878283_binette_bin124	0	0.009085417	0.070588134
SRR22878283_binette_bin125	0	0	0.052594002
SRR22878283_binette_bin126	0.012064617	0.0031541584	0.055767152
SRR22878283_binette_bin127	0	0.048133284	0.12149369
SRR22878283_binette_bin128	0.004236534	0.004293336	0.38212213
SRR22878283_binette_bin129	0.0020433855	0.011858943	0.1060473
SRR22878283_binette_bin13	0	0.0021786918	0.20986345
SRR22878283_binette_bin130	0	0	0.107898936
SRR22878283_binette_bin131	0.009641092	0.005521733	0.112157494
SRR22878283_binette_bin132	2.8043127	0.18856475	0.03829206
SRR22878283_binette_bin133	0.028163038	0.0069662165	0.18581025
SRR22878283_binette_bin134	0	0	0.049001683
SRR22878283_binette_bin135	0	0	0.22621238
SRR22878283_binette_bin136	0.009220655	0.027063647	0.30957308
SRR22878283_binette_bin137	0.043328926	0.009409682	0.10753199
SRR22878283_binette_bin138	0.009073478	0.06731662	0.07750277
SRR22878283_binette_bin139	0.016511686	0.010301625	0.15708473
SRR22878283_binette_bin14	0.0016197913	0.0028806804	0.6186626
SRR22878283_binette_bin140	0.18579799	0.02783945	0.3604677
SRR22878283_binette_bin141	0	0.0042068763	0.30576652
SRR22878283_binette_bin142	0.0021628086	0.043755364	0.11446968
SRR22878283_binette_bin143	0.10338029	0.02394647	0.2976759
SRR22878283_binette_bin144	0.020668887	0.03701554	0.06791307
SRR22878283_binette_bin145	0.96621966	0.08160516	0.11849291
SRR22878283_binette_bin146	0.0026125438	0.017243067	0.17175362
SRR22878283_binette_bin147	0.008833911	0.004927155	0.055179216
SRR22878283_binette_bin148	0	0.0017496132	0.0926132
SRR22878283_binette_bin149	0.012030799	0.005655352	0.05781477
SRR22878283_binette_bin15	0.009837426	0.002413918	0.37384337
SRR22878283_binette_bin150	0.010637143	0.0057034823	0.07554827
SRR22878283_binette_bin151	0	0	0.1001581
SRR22878283_binette_bin152	0.0035575675	0.0037869914	0.273151
SRR22878283_binette_bin153	0	0	0.09912436
SRR22878283_binette_bin154	0.0037123603	0.013221386	0.32038936
SRR22878283_binette_bin155	0.00074541545	0.005965133	0.055706095
SRR22878283_binette_bin156	0	0	0.04826988
